Date : 2021-04-28 01:50:40
Directory : d:\horizon\admin
Total : 66 files,  24005 codes, 270 comments, 607 blanks, all 24882 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          5 |     19,014 |         13 |          2 |     19,029 |
| JavaScript       |         44 |      3,532 |        183 |        352 |      4,067 |
| JavaScript React |          8 |      1,361 |         35 |        226 |      1,622 |
| CSS              |          3 |         45 |          8 |         11 |         64 |
| HTML             |          1 |         20 |         23 |          1 |         44 |
| SCSS             |          4 |         20 |          8 |          8 |         36 |
| Markdown         |          1 |         13 |          0 |          7 |         20 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                              |         66 |     24,005 |        270 |        607 |     24,882 |
| public                                                         |          2 |         35 |         23 |          2 |         60 |
| src                                                            |         59 |      4,958 |        234 |        597 |      5,789 |
| src\assets                                                     |          4 |        274 |          0 |          6 |        280 |
| src\assets\icons                                               |          4 |        274 |          0 |          6 |        280 |
| src\containers                                                 |          8 |        380 |         11 |         41 |        432 |
| src\firebase                                                   |          1 |         14 |          1 |          4 |         19 |
| src\queries                                                    |          1 |          0 |         17 |          6 |         23 |
| src\reusable                                                   |          5 |        157 |         10 |         26 |        193 |
| src\reusable\Accordion                                         |          3 |        101 |         10 |         23 |        134 |
| src\scss                                                       |          4 |         20 |          8 |          8 |         36 |
| src\views                                                      |         28 |      3,879 |         93 |        440 |      4,412 |
| src\views\Gallery                                              |          1 |         98 |          0 |         22 |        120 |
| src\views\Preview                                              |          2 |         25 |          1 |          9 |         35 |
| src\views\UploadImg                                            |          1 |        151 |          1 |         31 |        183 |
| src\views\charts                                               |          4 |        499 |          5 |         41 |        545 |
| src\views\dashboard                                            |          1 |        313 |          0 |         19 |        332 |
| src\views\mailing                                              |          1 |         93 |          5 |         17 |        115 |
| src\views\pages                                                |         12 |      1,877 |         79 |        243 |      2,199 |
| src\views\pages\landing                                        |          8 |      1,639 |         79 |        231 |      1,949 |
| src\views\pages\login                                          |          1 |         76 |          0 |          3 |         79 |
| src\views\pages\page404                                        |          1 |         42 |          0 |          3 |         45 |
| src\views\pages\page500                                        |          1 |         42 |          0 |          3 |         45 |
| src\views\pages\register                                       |          1 |         78 |          0 |          3 |         81 |
