Date : 2021-05-05 17:29:49
Directory : d:\horizon
Total : 156 files,  46880 codes, 1879 comments, 2581 blanks, all 51340 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          9 |     24,680 |         13 |          6 |     24,699 |
| CSS              |         23 |      8,148 |        354 |      1,063 |      9,565 |
| HTML             |         26 |      6,261 |        929 |        434 |      7,624 |
| JavaScript       |         75 |      4,468 |        442 |        539 |      5,449 |
| JavaScript React |         17 |      3,269 |         90 |        510 |      3,869 |
| SCSS             |          4 |         33 |         50 |         20 |        103 |
| Markdown         |          1 |         13 |          0 |          7 |         20 |
| XML              |          1 |          8 |          1 |          2 |         11 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                     |        156 |     46,880 |      1,879 |      2,581 |     51,340 |
| admin                                                                 |         72 |     25,777 |        320 |        868 |     26,965 |
| admin\public                                                          |          2 |         35 |         23 |          2 |         60 |
| admin\src                                                             |         65 |      6,403 |        284 |        858 |      7,545 |
| admin\src\assets                                                      |          4 |        274 |          0 |          6 |        280 |
| admin\src\assets\icons                                                |          4 |        274 |          0 |          6 |        280 |
| admin\src\containers                                                  |          8 |        465 |         11 |         71 |        547 |
| admin\src\firebase                                                    |          1 |         14 |          1 |          4 |         19 |
| admin\src\queries                                                     |          1 |          0 |         17 |          6 |         23 |
| admin\src\reusable                                                    |          5 |        157 |         10 |         26 |        193 |
| admin\src\reusable\Accordion                                          |          3 |        101 |         10 |         23 |        134 |
| admin\src\scss                                                        |          4 |         33 |         50 |         20 |        103 |
| admin\src\views                                                       |         34 |      5,214 |        101 |        654 |      5,969 |
| admin\src\views\Gallery                                               |          1 |         96 |          0 |         24 |        120 |
| admin\src\views\Preview                                               |          2 |         25 |          1 |          9 |         35 |
| admin\src\views\UploadImg                                             |          1 |        149 |          1 |         31 |        181 |
| admin\src\views\charts                                                |          4 |        499 |          5 |         41 |        545 |
| admin\src\views\dashboard                                             |          1 |        313 |          0 |         19 |        332 |
| admin\src\views\mailing                                               |          1 |         90 |          5 |         18 |        113 |
| admin\src\views\pages                                                 |         18 |      3,219 |         87 |        454 |      3,760 |
| admin\src\views\pages\landing                                         |         14 |      2,981 |         87 |        442 |      3,510 |
| admin\src\views\pages\login                                           |          1 |         76 |          0 |          3 |         79 |
| admin\src\views\pages\page404                                         |          1 |         42 |          0 |          3 |         45 |
| admin\src\views\pages\page500                                         |          1 |         42 |          0 |          3 |         45 |
| admin\src\views\pages\register                                        |          1 |         78 |          0 |          3 |         81 |
| admin\src\views\users                                                 |          3 |        157 |          0 |         30 |        187 |
| admin\src\views\widgets                                               |          3 |        666 |          2 |         28 |        696 |
| server                                                                |         82 |     20,589 |      1,559 |      1,711 |     23,859 |
| server\_data_sample                                                   |          6 |         44 |          0 |          4 |         48 |
| server\controllers                                                    |          1 |        481 |        117 |        100 |        698 |
| server\firebase                                                       |          1 |          0 |          0 |          1 |          1 |
| server\models                                                         |          7 |        380 |         68 |         17 |        465 |
| server\public                                                         |         37 |      8,486 |        407 |      1,116 |     10,009 |
| server\public\assets                                                  |         37 |      8,486 |        407 |      1,116 |     10,009 |
| server\public\assets\css                                              |         20 |      8,103 |        346 |      1,052 |      9,501 |
| server\public\assets\css\_reusable                                    |          1 |         52 |          0 |         16 |         68 |
| server\public\assets\css\about                                        |          1 |        323 |         22 |         72 |        417 |
| server\public\assets\img                                              |          1 |          8 |          1 |          2 |         11 |
| server\public\assets\js                                               |         16 |        375 |         60 |         62 |        497 |
| server\public\assets\js\about                                         |          1 |         45 |         10 |         14 |         69 |
| server\routes                                                         |          1 |         39 |         22 |         21 |         82 |
| server\schema                                                         |          1 |         38 |          2 |          7 |         47 |
| server\views                                                          |         25 |      6,241 |        906 |        433 |      7,580 |
| server\views\partials                                                 |         10 |        470 |        146 |        109 |        725 |
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                              | language         | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\horizon\admin\REACT.md                                             | Markdown         |         13 |          0 |          7 |         20 |
| d:\horizon\admin\jsconfig.json                                        | JSON             |          6 |          0 |          0 |          6 |
| d:\horizon\admin\package-lock.json                                    | JSON             |     19,243 |          0 |          1 |     19,244 |
| d:\horizon\admin\package.json                                         | JSON             |         72 |         10 |          0 |         82 |
| d:\horizon\admin\public\index.html                                    | HTML             |         20 |         23 |          1 |         44 |
| d:\horizon\admin\public\manifest.json                                 | JSON             |         15 |          0 |          1 |         16 |
| d:\horizon\admin\src\App.js                                           | JavaScript       |         29 |          4 |          7 |         40 |
| d:\horizon\admin\src\App.test.js                                      | JavaScript       |         17 |          0 |          5 |         22 |
| d:\horizon\admin\src\assets\icons\index.js                            | JavaScript       |        259 |          0 |          3 |        262 |
| d:\horizon\admin\src\assets\icons\logo-negative.js                    | JavaScript       |          3 |          0 |          1 |          4 |
